date,close
2017-01-03,6854.8960
2017-01-04,6998.6853
2017-01-05,7076.1106
2017-01-06,7037.3982
2017-01-09,7062.2849
2017-01-10,7059.5197
2017-01-11,7206.0742
2017-01-12,7250.3171
2017-01-13,7322.2120
2017-01-17,7242.0219
2017-01-18,7219.9004
2017-01-19,7244.7872
2017-01-20,7324.9773
2017-01-23,7358.1597
2017-01-24,7452.1761
2017-01-25,7535.1315
2017-01-26,7518.5405
2017-01-27,7471.5323
2017-01-30,7369.2202
2017-01-31,7341.5682
2017-02-01,7394.1069
2017-02-02,7454.9408
2017-02-03,7443.8803
2017-02-06,7466.0018
2017-02-07,7258.6129
2017-02-08,7313.9168
2017-02-09,7344.3335
2017-02-10,7399.6374
2017-02-13,7457.7061
2017-02-14,7466.0018
2017-02-15,7443.8803
2017-02-16,7355.3945
2017-02-17,7311.1516
2017-02-21,7369.2202
2017-02-22,7338.8035
2017-02-23,7283.4996
2017-02-24,7228.1957
2017-02-27,7189.4832
2017-02-28,7183.9527
2017-03-01,7300.0906
2017-03-02,7305.6211
2017-03-03,7297.3253
2017-03-06,7261.3781
2017-03-07,7208.8394
2017-03-08,7164.5965
2017-03-09,7200.5442
2017-03-10,7208.8394
2017-03-13,7297.3253
2017-03-14,7277.9691
2017-03-15,7407.9332
2017-03-16,7405.1679
2017-03-17,7466.0018
2017-03-20,7535.1315
2017-03-21,7405.1679
2017-03-22,7468.7671
2017-03-23,7452.1761
2017-03-24,7496.4190
2017-03-27,7479.8275
2017-03-28,7540.6620
2017-03-29,7562.7834
2017-03-30,7551.7224
2017-03-31,7772.9376
2017-04-03,7797.8243
2017-04-04,7786.7633
2017-04-05,7817.1805
2017-04-06,7960.9703
2017-04-07,7983.0918
2017-04-10,7999.6828
2017-04-11,7980.3266
2017-04-12,7822.7110
2017-04-13,7819.9458
2017-04-17,7850.3625
2017-04-18,7806.1195
2017-04-19,7761.8766
2017-04-20,7850.3625
2017-04-21,7842.0673
2017-04-24,7949.9093
2017-04-25,7983.0918
2017-04-26,7952.6746
2017-04-27,7916.7269
2017-04-28,7933.3184
2017-05-01,7949.9093
2017-05-02,7960.9703
2017-05-03,7861.4235
2017-05-04,7745.2856
2017-05-05,7908.4317
2017-05-08,7894.6054
2017-05-09,7955.4398
2017-05-10,7994.1523
2017-05-11,8016.2737
2017-05-12,8016.2737
2017-05-15,8099.2296
2017-05-16,8137.9421
2017-05-17,7919.4921
2017-05-18,7900.1359
2017-05-19,8090.9339
2017-05-22,8104.7596
2017-05-23,8088.1686
2017-05-24,8165.5940
2017-05-25,8240.2536
2017-05-26,8298.3228
2017-05-30,8290.0271
2017-05-31,8243.0189
2017-06-01,8262.3751
2017-06-02,8301.0881
2017-06-05,8273.4361
2017-06-06,8270.6709
2017-06-07,8265.1404
2017-06-08,8292.7923
2017-06-09,8265.1404
2017-06-12,8184.9502
2017-06-13,8317.6790
2017-06-14,8245.7841
2017-06-15,8101.9943
2017-06-16,8132.4116
2017-06-19,8143.4726
2017-06-20,8085.4034
2017-06-21,8057.7514
2017-06-22,8035.6300
2017-06-23,8077.1076
2017-06-26,8113.0553
2017-06-27,8077.1076
2017-06-28,8146.2373
2017-06-29,7999.6828
2017-06-30,8024.5695
2017-07-03,8046.6909
2017-07-05,8071.5777
2017-07-06,8024.5695
2017-07-07,8135.1768
2017-07-10,8201.5412
2017-07-11,8198.7760
2017-07-12,8320.4443
2017-07-13,8392.3392
2017-07-14,8444.8779
2017-07-17,8450.4078
2017-07-18,8464.2341
2017-07-19,8444.8779
2017-07-20,8461.4688
2017-07-21,8483.5903
2017-07-24,8547.1894
2017-07-25,8588.6671
2017-07-26,8547.1894
2017-07-27,8500.1813
2017-07-28,8527.8332
2017-07-31,8552.7199
