date,close
2024-01-15,16103.83
2024-02-15,16338.46
2024-03-15,17438.83
2024-04-15,18163.95
2024-05-15,19586.98
2024-06-15,17498.01
2024-07-15,16334.88
2024-08-15,16292.12
2024-09-15,16076.74
2024-10-15,16765.8
2024-11-15,15723.06
2024-12-15,15444.89
2025-01-15,15394.14
2025-02-15,15288.09
2025-03-15,16065.69
2025-04-15,15113.29
2025-05-15,15345.79
2025-06-15,15003.11
2025-07-15,15034.02
2025-08-15,14949.25
2025-09-15,15105.64
2025-10-15,15092.12
2025-11-15,14670.77
2025-12-15,14883.99
2026-01-15,17768.5
2026-02-15,17173.1
2026-03-15,17076.29
