date,close
2024-01-15,8338.88
2024-02-15,8304.95
2024-03-15,8689.13
2024-04-15,9464.43
2024-05-15,10139.33
2024-06-15,9648.17
2024-07-15,9385.31
2024-08-15,8971.96
2024-09-15,9237.48
2024-10-15,9533.99
2024-11-15,9075.73
2024-12-15,8916.32
2025-01-15,8991.41
2025-02-15,9330.6
2025-03-15,9739.68
2025-04-15,9176.8
2025-05-15,9532.98
2025-06-15,9835.07
2025-07-15,9770.58
2025-08-15,9669.56
2025-09-15,9983.79
2025-10-15,10739.91
2025-11-15,10812.03
2025-12-15,11785.25
2026-01-15,13012
2026-02-15,12951.35
2026-03-15,12528.71
