date,close
2017-01-03,11198.4809
2017-01-04,11399.0500
2017-01-05,11488.1931
2017-01-06,11454.7640
2017-01-09,11566.1921
2017-01-10,11789.0473
2017-01-11,11655.3342
2017-01-12,11387.9080
2017-01-13,11588.4771
2017-01-16,11566.1921
2017-01-17,11399.0500
2017-01-18,11376.7650
2017-01-19,11109.3389
2017-01-20,10908.7687
2017-01-23,10931.0548
2017-01-24,10931.0548
2017-01-25,10908.7687
2017-01-26,10496.4865
2017-01-27,10607.9146
2017-01-30,10752.7696
2017-01-31,11153.9099
2017-02-01,11376.7650
2017-02-02,11577.3351
2017-02-03,11477.0501
2017-02-06,11621.9062
2017-02-07,11532.7641
2017-02-08,11666.4772
2017-02-09,11488.1931
2017-02-10,11855.9043
2017-02-13,12000.7604
2017-02-14,11978.4744
2017-02-15,12123.3305
2017-02-16,12290.4715
2017-02-17,12301.6146
2017-02-20,12446.4707
2017-02-21,12167.9015
2017-02-22,12089.9025
2017-02-23,11811.3333
2017-02-24,12112.1874
2017-02-27,12279.3296
2017-02-28,12167.9015
2017-03-01,12368.4716
2017-03-02,12034.1884
2017-03-03,12212.4725
2017-03-06,12312.7576
2017-03-07,11900.4753
2017-03-08,11477.0501
2017-03-09,11298.7660
2017-03-10,11064.7678
2017-03-13,11298.7660
2017-03-14,11421.3360
2017-03-15,11399.0500
2017-03-16,11354.4790
2017-03-17,11365.6220
2017-03-20,11321.0510
2017-03-21,11276.4799
2017-03-22,11153.9099
2017-03-23,11120.4808
2017-03-24,10975.6258
2017-03-27,10841.9116
2017-03-28,11064.7678
2017-03-29,11198.4809
2017-03-30,11262.5517
2017-03-31,11064.7678
2017-04-03,10975.6258
2017-04-04,11042.4818
2017-04-05,11343.3370
2017-04-06,11276.4799
2017-04-07,11287.6230
2017-04-10,11321.0510
2017-04-11,10929.6616
2017-04-12,10808.4836
2017-04-13,10841.9116
2017-04-18,10407.3444
2017-04-19,10451.9154
2017-04-20,10507.6295
2017-04-21,10429.6294
2017-04-24,10329.3454
2017-04-25,10307.0593
2017-04-26,10318.2024
2017-04-27,10318.2024
2017-04-28,10574.4855
2017-05-02,10607.9146
2017-05-03,10251.3453
2017-05-04,9983.9191
2017-05-05,10184.4893
2017-05-08,10128.7752
2017-05-09,10240.2023
2017-05-10,10084.2042
2017-05-11,10284.7733
2017-05-12,10351.6304
2017-05-15,10351.6304
2017-05-16,10151.0602
2017-05-17,10229.0603
2017-05-18,10139.9183
2017-05-19,10418.4874
2017-05-22,10385.0584
2017-05-23,10362.7734
2017-05-24,10084.2042
2017-05-25,10073.0612
2017-05-26,10028.4902
2017-05-30,10095.3472
2017-05-31,9850.2061
2017-06-01,9850.2061
2017-06-02,9805.6350
2017-06-05,9839.0631
2017-06-06,9850.2061
2017-06-07,9772.2070
