date,close
2024-01-15,925.86
2024-02-15,894.29
2024-03-15,908.75
2024-04-15,940.18
2024-05-15,1014.68
2024-06-15,985.08
2024-07-15,978.8
2024-08-15,945.36
2024-09-15,966.7
2024-10-15,998.91
2024-11-15,965.53
2024-12-15,937.88
2025-01-15,949.23
2025-02-15,978.25
2025-03-15,980.05
2025-04-15,958.81
2025-05-15,979.5
2025-06-15,1251.48
2025-07-15,1390.99
2025-08-15,1342.53
2025-09-15,1434.91
2025-10-15,1615.55
2025-11-15,1564.79
2025-12-15,1893.43
2026-01-15,2433.83
2026-02-15,2137.33
2026-03-15,2046.01
